"Data","Municipio","Confirmados","Ultimo_Confirmado_Por_100k_habitantes","Novos_Confirmados_Dia","Mortos","Novos_Mortos_Dia","Ultimo_Rate_Mortos","is_repeated","Regiao","Latitude","Longitude","Area","Populacao","Densidade_Demografica","Tx_Geomet_Cresc_Anual_Popul_2010_2020","Grau_Urbanizacao","Ind_Envelhecimento","Popul_Menos_15Anos","Popul_60Anos_Mais","Razao_Sexos","Ind_Isolamento(%)","Total_Leitos_UTI_Adulto","Total_Leitos_UTI_Pediatrica","Total_SUS","Total_SUS_Pediatrica"
"10/04/2020","São Paulo",5982,"4.882.459",505,409,25,0.0684,"False","Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,56,957,20,20,0
"10/04/2020","Taboão da Serra",72,"2.485.639",5,5,0,0.0694,"False","Sudoeste",-23.6229,-46.7817,20.39,283871,13922.07,1.52,100.0,52.19,22.08,11.52,92.35,57,0,0,0,0
"10/04/2020","Vargem Grande Paulista",5,"950.625",0,3,0,0.6,"False","Sudoeste",-23.5998,-47.0225,42.49,52762,1241.75,2.09,100.0,54.21,22.15,12.01,97.95,0,0,0,0,0
"11/03/2020","Santana de Parnaíba",1,"0.71712",0,0,0,0.0,"False","Oeste",-23.443,-46.9227,179.95,138132,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0,0,0,0,0
"11/03/2020","São Paulo",29,"0.2367",11,0,0,0.0,"False","Centro",-23.5505,-46.6333,1521.11,11869660,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0,957,20,20,0
"11/04/2020","Arujá",11,"1.224.617",1,1,0,0.0909,"False","Leste",-23.397,-46.3204,96.17,89744,933.18,1.84,96.31,55.76,21.53,12.01,97.25,63,0,0,0,0
"11/04/2020","Barueri",43,"1.568.301",-1,2,0,0.0465,"False","Oeste",-23.5114,-46.8729,65.7,26439,4024.2,0.95,100.0,47.09,23.62,11.12,94.74,51,0,0,0,0
"11/04/2020","Caieiras",33,"3.252.193",1,4,0,0.1212,"False","Norte",-23.3612,-46.7402,97.64,100612,1030.44,1.54,98.26,60.86,19.69,11.99,96.01,63,0,0,0,0
"11/04/2020","Cajamar",5,"651.033",0,1,0,0.2,"False","Norte",-23.355,-46.8789,131.39,77627,590.81,1.95,98.82,44.85,22.09,9.91,99.14,64,0,0,0,0
"11/04/2020","Carapicuíba",31,"773.208",2,2,0,0.0645,"False","Oeste",-23.524,-46.8411,34.55,394598,11421.07,0.66,100.0,58.79,21.98,12.92,94.44,59,3,0,0,0
"11/04/2020","Cotia",59,"2.367.481",6,4,1,0.0678,"False","Sudoeste",-23.6027,-46.9195,323.99,247424,763.68,2.12,100.0,52.81,21.7,11.46,95.79,58,0,0,0,0
"11/04/2020","Diadema",60,"1.415.482",1,1,0,0.0167,"False","Sudeste",-23.6817,-46.6203,30.73,404477,13162.28,0.47,100.0,56.47,20.92,11.81,93.69,60,20,0,0,0
"11/04/2020","Embu das Artes",34,"1.242.118",1,2,0,0.0588,"False","Sudoeste",-23.6515,-46.8522,70.4,27079,3846.45,1.22,100.0,47.99,22.81,10.95,94.56,57,0,0,0,0
"11/04/2020","Embu-Guaçu",4,"576.493",0,0,0,0.0,"False","Sudoeste",-23.8295,-46.8149,155.64,68053,437.25,0.82,97.33,65.4,20.39,13.33,97.85,0,0,0,0,0
"11/04/2020","Ferraz de Vasconcelos",34,"1.750.088",-1,0,0,0.0,"False","Leste",-23.529,-46.3636,29.56,193037,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,56,0,0,0,0
"11/04/2020","Francisco Morato",13,"739.292",1,1,0,0.0769,"False","Norte",-23.2794,-46.7448,49.0,174403,3559.24,1.23,99.8,46.83,22.9,10.72,98.05,54,0,0,0,0
"11/04/2020","Franco da Rocha",19,"1.229.861",1,1,0,0.0526,"False","Norte",-23.3234,-46.7295,132.78,152201,1146.26,1.48,92.13,53.96,20.81,11.23,103.63,58,0,0,0,0
"11/04/2020","Guararema",1,"335.593",-1,0,0,0.0,"False","Leste",-23.4129,-46.035,270.82,29429,108.67,1.32,86.05,70.18,20.16,14.15,99.72,0,2,0,0,0
